,QUESTION,ENG,TYPE ENTITE,ROLE SEMANTIQUE,COMMENTAIRES
4597,De quand date Les Saisons ?,When,Time,,
6918,Où est établi le camp de la 9e division en Palestine ?,Where,Location,,
10129,Quand l'ORIM a-t-elle été créée?,When,Time,,
449,A quelle classe sont destinées les tombes collectives ?,0,Abstract,,
5493,Depuis quand Martin Gilbert est-il Sir ?,When,Time,,
377,A quel stade de la compétition est le premier match de Lille ?,0,Measure,,
4620,De quand date la plus grosse liste mésopotamienne ?,When,Time,,
2395,Combien y a-t-il d'Européens sur Nauru en 1845?,How_Many,Measure,,
172,A partir de quelle époque le prestige de la Glasgow cup décroit-il ?,When,Time,,
19771,Qui vient en 1030 à Arezzo ?,Who,Human,,
18061,Qui a été l'artiste majeur de l'art grec ?,Who,Human,,
17628,Qui a attaqué Mrs Gargery?,Who,Human,,
17609,Qui a acheté pour 4 990 000 euros de chevaux aux ventes de Deauville ?,Who,Human,,
19812,"Qui énonce que le film ""appuie sur le côté moralisateur"" ?",Who,Human,,
18248,Qui critique le traitement de nombreux chiens ?,Who,Human,,
5780,En quelle année Disney rencontra Luca ?,When,Time,,
2303,Combien de voitures sont produites aux Etats-Unis en 1947?,How_Many,Measure,,
2300,Combien de voitures ont réussi à terminer la course Paris-Bordeaux-Paris?,How_Many,Measure,,
18849,Qui est le président américain en 1920?,Who,Human,,
715,A qui est crédité chaque chanson du groupe ?,Who,Human,,
18394,Qui effectua des recherches sur les sources d'inspirations d'Albert Hurter?,Who,Human,,
18149,Qui assure la gestion du parc de Padjelanta ?,Who,Human,,
10242,Quand la race Berrichonne disparait-elle ?,When,Time,,
18786,Qui est le lord-maire de Londres?,Who,Human,,
4655,De quand datent le poème de Robert de Boron ?,When,Time,,
10457,Quand ont lieu les portes ouvertes du métro ?,When,Time,,
2205,Combien de temps l'exploitation d'un four moderne peut-elle s'interrompre ?,How_Many,Measure,,
10000,Quand est-ce qu'est prêté Mavuba au LOSC ?,When,Time,,
7581,Par qui l'armée de Yohannes est-elle équipée ?,Who,Human,,
7544,Par qui Lennon est-il agressé en plein match ?,Who,Human,,
6478,Jusqu'à quand les inscriptions à titre initial furent-elles prolongées ?,When,Time,,
20623,À qui Grisendole livre-t-elle l'homme sauvage ?,Who,Human,,
9575,Quand Juan Carlos annonce-t-il que l'Espagne organisera une Exposition Universelle?,When,Time,,
2310,Combien de volumes de la bande dessinée y a-t-il ?,How_Many,Measure,,
9925,Quand est détruite la porte ?,When,Time,,
8041,"Pour qui Estella emploie-t-elle le terme ""rejet""",Who,Human,,
18490,Qui est champion d'Ecosse en 2011-2012 ?,Who,Human,,
9648,Quand Titan est il découvert ?,When,Time,,
19493,Qui s'empare du trône de Grèce ?,Who,Human,,
9481,Quand Cavour est-il confronté à Garibadi ?,When,Time,,
19487,Qui s'affirme comme le plus grand rival de Mickey Mouse?,Who,Human,,
17894,Qui a remporté le Tour de France et le Tour d'Italie en 1987?,Who,Human,,
7195,Où se déroule la série TV Once Upon a Time ?,Where,Location,,
9952,Quand est né Nicolas-Claude Fabri de Peiresc ?,When,Time,,
17724,Qui a envoyé la flotte de transport à la Grèce ?,Who,Human,,
17728,Qui a eu l'idée du projet ?,Who,Human,,
19282,Qui parvient à apaiser les tensions ?,Who,Human,,
19636,Qui sont les deux personnes qui abordent Pinocchio dès son premier jour d'école ?,Who,Human,,
129,A partir de quand les femmes commencent-elles à utiliser des voitures?,When,Time,,
19091,Qui fit une demande pour acquérir les droits sur le navire en 1844 ?,Who,Human,,
18123,Qui annonce officiellement à Churchill l'intention du roi d'épouser Wallis Simpson ?,Who,Human,,
1653,Combien de carènes possède le plastron du ventre de la tortue luth ?,How_Many,Measure,,
1251,Avec qui a bossé Jack Brabham le projet d'écurie de Formule 1?,Who,Human,,
2052,Combien de poursuites Coppi a-t-il courru?,How_Many,Measure,,
7575,Par qui est-il influencé pour changer de club ?,Who,Human,,
7220,Où se rendent ils pour la première fois en 1979 ?,Where,Location,,
8059,Pour qui la Jeep Willys a-t-elle été créée?,Who,Human,,
9595,Quand Metsewa passe-t-il sous contrôle italien ?,When,Time,,
17652,Qui a conçu la boîte de vitesse de la S921 ?,Who,Human,,
806,A quoi a contribué le développement d'un marché d'échanges sur la péninsule italienne au VIIIème siècle avant J.C. ?,What,Thing,,
10530,Quand sont diffusés les matchs du samedi soir ?,When,Time,,
7302,Où se sont rencontrées Griffiths et Susan Dagnall ?,Where,Location,,
18261,Qui de Messenger ou de Diomed est arrivé en premier sur le sol américain ?,Who,Human,,
7019,Où l'époux de la reine Olga est-il enterré ?,Where,Location,,
574,A quelle profession est comparée la rémunération de Zamora ?,0,Function,,
18994,Qui est un personnage important à Londres au cours du XVIIIe siècle?,Who,Human,,
6838,Où est détenue une collection d'objets d'art et d'effets personnels de l'empereur venant du Japon et de la Route de la soie ??,Where,Location,,
10311,Quand le dépôt de Salorges a-t-il été détruit ?,When,Time,,
4623,De quand date la première démonstration fiable du grand théorème de Fermat ?,When,Time,,
17950,"Qui a un regard narquois, amusé ou crispant?",Who,Human,,
7340,Où se trouve le musée grégorien ?,Where,Location,,
18923,Qui est nommé entraineur de Leicester City en février 2019 ?,Who,Human,,
10419,Quand les scientifiques découvrent ils des anions lourds dans la ionosphère de Titan ?,When,Time,,
19364,Qui programme des conférences et des sessions de lecture des sūtras ?,Who,Human,,
2374,Combien titres de champion d'Ecosse le Celtic a-t-il remporté ?,How_Many,Measure,,
1954,Combien de personnes baptisées vivent à Carabane en 1898?,How_Many,Measure,,
6740,Où a déménagé le club ?,Where,Location,,
18956,Qui est responsable de l'élevage dans l'administration ?,Who,Human,,
18144,Qui aspire secrètement à être aimée pour compenser l'affection dont elle a été privée dans son enfance ?,Who,Human,,
4569,De combien de nefs dispose la basilique ayant potentiellement abrité des reliques de Saint Etienne ?,How_Many,Measure,,
18865,Qui est le père d'Arthur ?,Who,Human,,
7218,Où se rend Höss pour ses 6 semaines de congé ?,Where,Location,,
1992,Combien de personnes sont venues voir le match Lille - RC Lens ?,How_Many,Measure,,
9703,Quand a eu lieu l'ultime vente aux enchères d'objets du sanctuaire ?,When,Time,,
19582,Qui se trouve libérée après une rupture totale avec son milieu d'origine?,Who,Human,,
18290,Qui devient le premier manager des Maroons ?,Who,Human,,
19542,Qui s'échappent à Rotterdam pendant la guerre ?,Who,Human,,
10100,Quand est-elle sortie ?,When,Time,,
1379,Combien coûte le pavillon Hassan-II en euros?,How_Many,Measure,,
18517,Qui est défait aux élections générales de 1929 ?,Who,Human,,
63,"A l'est, jusqu'où serait amenée la ligne ?",Where,Location,,
616,A quelle époque Mr Gardiner a-t-il vécu ?,When,Time,,
9454,Quand Araya Selassié et Zewditou se fiancent-ils ?,When,Time,,
6453,Jusqu'où les cendres du mont saint helens se déplacent-elles ?,Where,Location,,
6758,Où a étudié Anne Teresa De Keersmaeker ?,Where,Location,,
2253,Combien de tours Roberto Moreno fait-il avant son problème de moteur ?,How_Many,Measure,,
17931,Qui a réunit l'ensemble des manuscrits à la mort de l'auteur ?,Who,Human,,
7044,Où le Vasa fut il construit ?,Where,Location,,
18135,Qui apprécie d'aller au casino de Deauville?,Who,Human,,
17578,Qui Merlin transforme-t-il ?,Who,Human,,
1568,Combien d'îlots compte le parc ?,How_Many,Measure,,
6817,Où est assis le mendiant ?,Where,Location,,
7542,Par qui Höss est capturé avant d'être relâché ?,Who,Human,,
700,A qui appartient le temple aujourd'hui ?,Who,Human,,
10108,Quand fut construire la halle aux laines ?,When,Time,,
19723,Qui surveille les déportés?,Who,Human,,
569,A quelle place le groupe parvient il en Angleterre ?,0,Measure,,
18530,Qui est exonéré selon la comission d'enquête parlementaire ?,Who,Human,,
217,A quand remonte la naissance du Shira ?,When,Time,,
7086,Où les Priestley émigrent-ils ?,Where,Location,,
710,A qui est attribuée la scène de la fourrière ?,Who,Human,,
19850,Qui était enthousiaste concernant l'innovation technologique ?,Who,Human,,
18573,Qui est l'auteur de Disquisitiones arithmeticae ?,Who,Human,,
755,A qui les premières voitures étaient-elles destinées?,Who,Human,,
18098,Qui affirme qu'il ya des mouvements désagréables dans le film ?,Who,Human,,
18158,Qui attribue au temple les impôts des provinces de Suō ?,Who,Human,,
1924,Combien de paroisses retrouve-t-on en Béarn ?,How_Many,Measure,,
19907,Qui était mécontent que les enfants grecs de la fin du XVIIIe se voient donner des noms de la Grèce antique ?,Who,Human,,
6702,Où Henry étudie-t-il?,Where,Location,,
2155,Combien de temps après le plan de partage la fin du mandat a-t-elle eu lieu?,How_Many,Measure,,
18084,Qui accordait beaucoup d'importance à l'alimentation ?,Who,Human,,
9658,Quand Unwin demande-t-il à Tolkien une suite au Hobbit ?,When,Time,,
779,A qui sont destinés les objets de luxe ?,Who,Human,,
5224,"De qui le personnage de ""homme qui sait"" serait la possible première ébauche?",Who,Human,,
2174,Combien de temps dure la permission des soldats à leur arrivée ?,How_Many,Measure,,
18907,Qui est le voisin de Fielding?,Who,Human,,
17559,Qui Edge et Chris Jericho battent-ils lors de The bash en juin 2009 ?,Who,Human,,
8510,QUi est mort en 1745?,Who,Human,,
82,"A la fin du livre, où se retrouvent les personnages qui rencontrent l'approbation de Dickens ?",Where,Location,,
18526,Qui est en tête de la course pendant les dix-huit premiers tours ?,Who,Human,,
1860,Combien de matchs du LOSC ont été diffusé ?,How_Many,Measure,,
7445,Où étaient dispersés les peaux et crânes des spécimens trouvés entre 1855 et 1928 ?,Where,Location,,
18686,Qui est le 1er duc de Malborough ?,Who,Human,,
2158,Combien de temps après sa victoire The Undertaker refuse-t-il le match retour contre Shaxn Michaels ?,How_Many,Measure,,
19289,Qui passe une semaine à Newgate?,Who,Human,,
1430,Combien d'enfant possèdent les Gardiner ?,How_Many,Measure,,
9818,Quand a été écrit Save the Reaper ?,When,Time,,
9480,Quand Cavour entre-t-il dans la capitale française ?,When,Time,,
6725,Où Otton a mené des batailles ?,Where,Location,,
19222,Qui mènent les débats vocaux dans les livres de Trimmer ?,Who,Human,,
9882,Quand débarque l'Aquitania ?,When,Time,,
10232,Quand la piste d'atterrissage est-elle finie ?,When,Time,,
9920,Quand est créée la Société académique du Touquet-Paris-Plage ?,When,Time,,
353,A quel personnage Oscar Wilde était particulièrement attaché ?,0,Human,,
9709,Quand a eu lieu la conférence d'Arcadia ?,When,Time,,
17882,Qui a publié une deuxième version de la carte de Rigas en 1800 ?,Who,Human,,
6465,Jusqu'à quand est utilisé An Abridgement of Scripture History ?,When,Time,,
153,A partir de quelle année le livre Amelia est-il connu en France?,When,Time,,
6933,Où est-ce que Green Day enregistre ses premières chansons pour leur retour ?,Where,Location,,
7380,Où sont installées les entreprises qui profitent des restes du gisement ?,Where,Location,,
19157,Qui joue le personnage de Sir Leicester Dedlock dans la série réalisée par la BBC ?,Who,Human,,
513,A quelle entreprise appartient le Pistol ?,0,Organization,,
5887,En quelle année a ouvert le parc Disneyland japonais ?,When,Time,,
4653,De quand date un grand nombre de fables et recueils de proverbes ?,When,Time,,
10179,"Quand la ""loi noire"" est-elle passée?",When,Time,,
18553,Qui est l'amant d'Amélia ?,Who,Human,,
2207,Combien de temps le cycle thermodynamique de Beau de Rochas compte-t-il?,How_Many,Measure,,
4538,De combien de cabines se compose la plus belle piscine d'Europe ?,How_Many,Measure,,
5767,En quelle année Charles de Navarre tombe-t-il très fortement malade ?,When,Time,,
6106,En quelle année la première photo du Chat bai à l'état sauvage a été prise?,When,Time,,
766,A qui s'adresse-t-il pour rouvrir le sanctuaire ?,Who,Human,,
6721,Où Monmouth puise-t-il son inspiration ?,Where,Location,,
19475,Qui réconforte Dumbo après l'emprisonnement de sa mère ?,Who,Human,,
17815,Qui a localisé les épaves du Riksäpplet et du Lybska ?,Who,Human,,
2080,Combien de régions accueillent la chèvre des Pyrénées ?,How_Many,Measure,,
4636,De quand date le crâne de Petralona ?,When,Time,,
10103,"Quand eu lieu le festival d'Avignon où Fase fut décrit comme un moment de ""bonheur "" ?",When,Time,,
188,A quand remonte cette annonce ?,When,Time,,
199,A quand remonte l'instauration de cette loi ?,When,Time,,
1823,Combien de lecteurs quotidiens moyens disposent ce journal ?,How_Many,Measure,,
7585,Par qui le général de Gaulle est-il dépêché?,Who,Human,,
1515,Combien d'ouvrage seront publiés après la mort de Balzac ?,How_Many,Measure,,
7531,Par qui Abel Magwitch se fait-il tuer?,Who,Human,,
10512,Quand se réunit le 24e Forum du Pacifique Sud?,When,Time,,
6736,Où Yohannes est-il couronné ?,Where,Location,,
1362,Combien a coûte la production de Pinocchio ?,How_Many,Measure,,
19169,Qui la reine Olga accueille-t-elle dans son palais de Pavlovsk ?,Who,Human,,
6825,Où est ce que Pip est accueilli de manière froide?,Where,Location,,
18461,Qui est Odin ?,Who,Human,,
7434,Où vit John Jarndyce ?,Where,Location,,
2321,Combien doit payer Jerez de la frontera pour obtenir un pavillon à l'Expo?,How_Many,Measure,,
5505,Depuis quand la tortue luth est elle désignée comme en voie de disparition au Canada ?,When,Time,,
2288,Combien de voies a la ligne?,How_Many,Measure,,
582,A quelle période correspond l'âge du bronze ?,When,Time,,
6823,Où est ce que Abel Magwitch est-il envoyé de force?,Where,Location,,
17828,Qui a mis au point une organisation de défense des communautés grecques en Macédoine?,Who,Human,,
7724,Pendant  combien de temps les éruptions secondaires du mont saint helens perdurent-elles ?,When,Time,,
18450,Qui est Jiminy Cricket ?,Who,Human,,
7085,Où les Montagnes de Brume doivent-elles être franchies ?,Where,Location,,
1030,Au bout de quelle rue se trouvait la gare inférieure ?,Where,Location,,
2192,Combien de temps durera l'Exposition?,How_Many,Measure,,
4571,De combien de parts le ballet est-il constitué ?,How_Many,Measure,,
6459,Jusqu'à quand Mary Shelley n'était pas connue pour ses ouvrages notamment ?,When,Time,,
5945,En quelle année apparaît Un Yankee à la cour du roi Arthur ?,When,Time,,
385,A quel travail celui des artistes de layout est-il comparable ?,0,Function,,
7278,Où se situe le grenier ?,Where,Location,,
10039,Quand est-ce que l'assemblée nationale a statué sur la reconnaissance du burnout comme une maladie professionnelle ?,When,Time,,
2237,Combien de tirs dangereux Landreau parvient à arrêter en première mi-temps ?,How_Many,Measure,,
18611,Qui est l'autre défenseur latéral avec Franck Béria ?,Who,Human,,
76,"A l'été 1904, où le Celtic part-il en tournée ?",Where,Location,,
18639,Qui est la cause de l'abandon du projet ?,Who,Human,,
19725,Qui symbolisent le danger dans le monde où entrent les marins?,Who,Human,,
19197,Qui mangeait des grands herbivores ?,Who,Human,,
19913,Qui était à la direction du camp?,Who,Human,,
19303,Qui pense que l'éducation permettre aux classes sociales les plus basses de s'affranchir du système des classes ?,Who,Human,,
9790,Quand a été marqué le dernier but ?,When,Time,,
18845,Qui est le prédecesseur travailliste de Churchill au ministère des Finances ?,Who,Human,,
6781,Où atterrissent les navires?,Where,Location,,
17974,Qui a écrit De l'autre côté du miroir ?,Who,Human,,
10238,Quand la première école mixte a-t-elle été créée à Paris-Plage ?,When,Time,,
2154,Combien de temps après la sortie du premier single l'album sort-il ?,How_Many,Measure,,
17698,Qui a décidé du tracé de la ligne de métro ?,Who,Human,,
10431,Quand les étudiants se réunirent ils pour rencontrer le révérend Gocklen ?,When,Time,,
18741,Qui est le dirigeant du Destour ?,Who,Human,,
521,A quelle fin Merlin l'Enchanteur utilise-t-il ses pouvoirs?,0,Thing,Goal,
17781,Qui a initié Eustace Thomas a l'ascension de 4000 m ?,Who,Human,,
7173,Où s'enfuit Leiloken ?,Where,Location,,
1460,Combien d'exemplaires du livre le Cercle lyonnais en tire-t-il ?,How_Many,Measure,,
20633,À qui appartenait le navire?,Who,Human,,
19217,Qui mis au jour des milliers d'objets lors du renflouage de 1961 ?,Who,Human,,
18238,Qui convainc Coppi de reprendre son entraînement ?,Who,Human,,
381,A quel syndicat appartienne la plupart des adhérents du Néo-Destour ?,0,Organization,,
18566,Qui est l'architecte en charge de la construction du musée du Touquet-Paris-Plage?,Who,Human,,
9955,Quand est né William Theodore « Theo » Brailey?,When,Time,,
10319,Quand le gouvernement décida-t-il de la construction d'un bâtiment pour l'accueillir ?,When,Time,,
18594,Qui est l'auteur de la pièce Einar Tambarskjelve?,Who,Human,,
6199,En quelle année ouvrit le studbook en Argentine ?,When,Time,,
2330,Combien est estimé le trafic annuel de la ligne 7 en 2003?,How_Many,Measure,,
20646,À qui l'église était-elle dédiée avant le XVe siècle ?,Who,Human,,
2062,Combien de races forment l'ensemble de l'espèce ?,How_Many,Measure,,
6749,Où a lieu la foire au fromage ?,Where,Location,,
1227,Avec qui Keynes formait-il un tandem ?,Who,Human,,
6906,Où est située la capitale ?,Where,Location,,
2244,Combien de tomes contient le Cycle de Merlin de Mary Stewart ?,How_Many,Measure,,
7738,Pendant combien de temps Fielding a-t-il écrit des romans?,When,Time,,
2187,Combien de temps dure le voyage du Queen Mary jusqu'en écosse ?,How_Many,Measure,,
4640,De quand date le nouveau traité ?,When,Time,,
10033,Quand est-ce que Trimmer oppose sa méthode d'enseignement et celle de Madras ?,When,Time,,
4656,De quand datent les efforts de la France?,When,Time,,
18100,Qui affirme que Dickens a imposé au lecteur une sorte de double perspective ?,Who,Human,,
19357,Qui prend le contrôle de la cité ?,Who,Human,,
1877,Combien de minutes dure ce mouvement ?,How_Many,Measure,,
19511,Qui s'intéresse au concombre ?,Who,Human,,
6650,Ou Venizelos alla-t-il après Athènes?,Where,Location,,
18564,Qui est l'architecte derrière les portes en bronze ?,Who,Human,,
9783,Quand a été escaladé le tout premier 4 000 ?,When,Time,,
1718,Combien de cycles de rímur ont été constitués au XVIIIe siècle?,How_Many,Measure,,
10304,Quand le corps expéditionnaire britannique arrive-t-il au pied de Meqdela ?,When,Time,,
10008,Quand est-ce qu'ont eu lieu l'évolution de la technique et la nationalisation de l'industrie du fer?,When,Time,,
19403,Qui rapproche geppetto d'un jonas moderne ?,Who,Human,,
9559,Quand Henri de Trastamare meurt-il ?,When,Time,,
5827,En quelle année Rotterdam est-elle qualifiée de ville ?,When,Time,,
18264,Qui de Sarek et Padjelanta présente la plus grande instabilité de climat ?,Who,Human,,
7406,Où sont transportés les prisonniers ?,Where,Location,,
18088,Qui accueille les spectateurs ?,Who,Human,,
10138,Quand l'album sort il ?,When,Time,,
17648,Qui a construit la ville de Cayenne en 1664?,Who,Human,,
18267,Qui de Vastenjaure ou de Virihaure est le plus haut en altitude ?,Who,Human,,
7432,Où va le Queen of Bermuda après avoir quitté Fremantle ?,Where,Location,,
10184,Quand la Grèce s'est-elle étendue dans le sud de l'Italie ?,When,Time,,
7101,Où les mariés passent-ils leur voyage de noce ?,Where,Location,,
18255,Qui d'entre Coppi et Bartali représente l'Italie du Nord?,Who,Human,,
19561,Qui se convertit au christianisme ?,Who,Human,,
268,A quel cheval des sources récentes lient-elles le Berrichon ?,0,Animal,,
18331,Qui doit recevoir l'héritage de Longbourn ?,Who,Human,,
4652,De quand date les stalles de bois de la chapelle ?,When,Time,,
5756,En quelle année Aragon et Navarre concrétisent-elles leur alliance ?,When,Time,,
1057,Au début quand était célébré la sainte Catherine ?,When,Time,,
19546,Qui sauve la vie du prince André ?,Who,Human,,
1564,Combien d'étudiants le campus de Rose Hill accueille-t-il ?,How_Many,Measure,,
19828,Qui était John Coffey ?,Who,Human,,
10195,Quand la Tata Nano voit-elle le jour?,When,Time,,
9831,Quand achève-t-on la construction de la tour Sevilla?,When,Time,,
18277,Qui des deux hommes présente un orgueil et une richesses héritée ?,Who,Human,,
17863,Qui a pris enfin l'avantage dans la course?,Who,Human,,
2063,Combien de rames comportait le contrat signé par Matra ?,How_Many,Measure,,
9946,Quand est morte la mère du petit Cavour ?,When,Time,,
18300,Qui dirige l'enregistrement de l'Apprenti sorcier utilisé par Disney ?,Who,Human,,
2157,Combien de temps après sa signature le traité d'Adoua est-il violé ?,How_Many,Measure,,
2027,Combien de points a marqué Lille ?,How_Many,Measure,,
10306,Quand le crâne a-t-il été trouvé ?,When,Time,,
676,A qui Mr Bennet a-t-il forgé une pensée critique ?,Who,Human,,
19221,Qui mène les enquêtes sur le sentiment de sécurité dans le métro ?,Who,Human,,
18609,Qui est l'auteur probable du Kengu-kyo ?,Who,Human,,
2392,Combien y a t-il eu de joueurs habituels au match aller contre Eindhoven ?,How_Many,Measure,,
6033,En quelle année fut créé un journal réservé aux courses hippiques ?,When,Time,,
19774,Qui vient prévenir les nains que Blanche-Neige a été empoisonnée ?,Who,Human,,
18391,Qui détenait le record au vélodrome Vigonelli avant le 7 novembre?,Who,Human,,
18618,Qui est l'entraîneur du Celtic FC après-guerre?,Who,Human,,
10451,Quand ont démarré les travaux de la bibliothèque humaniste ?,When,Time,,
546,A quelle industrie la guerre a-t-elle profitée?,0,Abstract,,
10320,Quand le gouvernement français signe-t-il l'armistice ?,When,Time,,
2363,Combien mesure le terrain à Lennoxtown ?,How_Many,Measure,,
1962,Combien de personnes habitent à Salisbury?,How_Many,Measure,,
19337,Qui porte un Spear à Chris Jericho lors de Smackdown ?,Who,Human,,
19256,Qui offre à la vente des accessoires de voiture?,Who,Human,,
1938,"Combien de pays différents sont représentés dans l'exposition ""Art et culture autour de 1492""?",How_Many,Measure,,
18337,Qui donna l'ordre de faire sauter la poudre ?,Who,Human,,
6661,Où Bilbo Sacquet vivait-il ?,Where,Location,,
9492,Quand Charlemagne est-il venu à Sélestat ?,When,Time,,
6834,Où est décédé Adson de Montier-en-Der ?,Where,Location,,
5825,En quelle année Renault adopte-t-il totalement le Taylorisme?,When,Time,,
213,A quand remonte la découverte du point sombre ?,When,Time,,
10394,Quand les bombardements américains cessent-ils ?,When,Time,,
17757,Qui a félicité Conny Keyber?,Who,Human,,
20642,À qui est confié le duché de Bourgogne en 1361 ?,Who,Human,,
2032,Combien de points a marqué le meilleur pointeur de la saison ?,How_Many,Measure,,
6856,Où est instruit l'évêque Alphane ?,Where,Location,,
795,A quoi Great Expectations peut-il être comparé?,What,Thing,,
18605,Qui est l'auteur du projet Swice?,Who,Human,,
6779,Où amène-t-on la masse des canons dans le frégatage ?,Where,Location,,
19734,Qui traduit l'oeuvre de Stephen Hales ?,Who,Human,,
6168,En quelle année le roi du Danemark et son fils sont convertis ?,When,Time,,
233,A quand remonte le congrès islamique de Karachi ?,When,Time,,
7582,Par qui le Celtic FC est-il vu comme un facteur d'identité culturelle ?,Who,Human,,
10369,Quand le traité de Wadara est-il signé ?,When,Time,,
9572,Quand Joachim Neaumann est-il né ?,When,Time,,
1035,Au cours de quel siècle les trains se sont-ils développés?,When,Time,,
1964,Combien de personnes lisent The Celtic View hebdomadairement ?,How_Many,Measure,,
18463,Qui est Philippe le Hardi pour Jean le Bon ?,Who,Human,,
19171,Qui lance une malédiction à Suibhne ?,Who,Human,,
10368,Quand le top 50 apparaîtra t'il en France ?,When,Time,,
18397,Qui effectue le trajet avec l'expédition militaire lors de la campagne d'Egypte?,Who,Human,,
9991,Quand est-ce les que États généraux se sont assemblés?,When,Time,,
10073,Quand est-ce que le pays présente-t-il un chiffre d'affaires de 687 millions de francs CFA?,When,Time,,
18366,Qui décrit cette rivalité entre les deux partis ?,Who,Human,,
9549,Quand Franzén mis en évidence un grand objet en chêne noirci presque parallèle à l'embouchure du quai de Beckholmen?,When,Time,,
2254,Combien de tours bioclimatiques composent le pavillon représentant la communauté européenne?,How_Many,Measure,,
19642,Qui sont les dix catcheurs s'opposant pour la première fois lors du Money in the Bank ladder match ?,Who,Human,,
9789,Quand a été marqué le dernier but ?,When,Time,,
19617,Qui sont les belligérants lors de la guerre sociale ?,Who,Human,,
19144,Qui introduit Merlin dans le cycle arthurien ?,Who,Human,,
18095,"Qui affectionne particulièrement l'Histoire de Tom Jones, enfant trouvé?",Who,Human,,
9551,Quand Garibaldi s'exprime-t-il à la chambre ?,When,Time,,
2194,Combien de temps est resté le film à l'affiche du Radio City Music Hall ?,How_Many,Measure,,
5175,De qui Kitty doit elle s'écarter pour s'améliorer?,Who,Human,,
19555,Qui se charge de prodiguer une correction envers les trois poèmes?,Who,Human,,
9950,Quand est né Giovanni Nigra ?,When,Time,,
1939,Combien de pays font alors partie de la Communauté européenne ?,How_Many,Measure,,
427,A quelle allure vont les chevaux qui tirent les chars ?,0,Measure,,
1083,Au total combien de soldats disposait la New Model Army ?,How_Many,Measure,,
20634,À qui appartient Formula One Management ?,Who,Human,,
19009,Qui est à l'origine de l'hôpital Franciscus Gasthuis ?,Who,Human,,
2280,Combien de vidéos Valve a-t-il reçu pour le concours ?,How_Many,Measure,,
17740,Qui a fait la seule passe décisive du match Sochaux - Lille ?,Who,Human,,
9848,Quand cette série est elle publiée en CD ?,When,Time,,
2025,Combien de points Stewart marque-t-il lors de la saison ?,How_Many,Measure,,
18853,Qui est le président de la CUDL à l'époque ?,Who,Human,,
18410,Qui encourage notamment Mary Shelley à écrire ?,Who,Human,,
9493,Quand Charles-Albert démissionne-t-il de son poste ?,When,Time,,
6913,Où est située le domicile de Wemmick?,Where,Location,,
7240,Où se situe Kozarnika ?,Where,Location,,
10028,Quand est-ce que Périllier est renvoyé de son poste ?,When,Time,,
6775,Où a-t-on découvert l'Homme de Tautavel ?,Where,Location,,
17994,Qui a écrit Save the Reaper ?,Who,Human,,
362,A quel poste évolue Mickaël Landreau ?,0,Function,,
1004,Après combien de changements de coté l'amiral mis fin à l'essai ?,How_Many,Measure,,
1824,Combien de lettres Shamela a-t-elle rédigé?,How_Many,Measure,,
2258,Combien de travailleurs polonais sont mis sous les ordres des autorités SS pour construire le camp?,How_Many,Measure,,
18284,Qui devait apporter son aide à la section de Monsieur Dubois dans l'étude des vestiges trouvés ?,Who,Human,,
19022,Qui est à l'origine des dessins dans les pages de promotions à la sortie du film Blanche-Neige ?,Who,Human,,
17723,Qui a envoyé des e-mails à Valve afin de décrire l'usage ludique qu'ils font de son jeu ?,Who,Human,,
18571,"Qui est l'auteur de ""austères et mustiques""?",Who,Human,,
18456,Qui est Maxime Litvinov ?,Who,Human,,
1270,Avec qui le groupe tourne t'il une dernière fois ?,Who,Human,,
19880,Qui était le mari de Vickie Guerrero ?,Who,Human,,
7589,Par qui les chants sont-ils repris en prose ?,Who,Human,,
1570,Combien de Britanniques sont victimes du siège d'Anvers ?,How_Many,Measure,,
17684,Qui a disparu ?,Who,Human,,
4605,De quand date l'exemple de l'enregistrement de séances de travail ?,When,Time,,
17897,Qui a rencontré le général Maison au mois de septembre ?,Who,Human,,
10107,Quand furent publiés pour la première fois les contes de Perrault ?,When,Time,,
1803,Combien de juments fondatrices la lignés des Pur-sang compte-t-elle ?,How_Many,Measure,,
1506,Combien d'objets comporte l'exposition du monastère de Cartuja?,How_Many,Measure,,
10502,Quand se déroule le film ?,When,Time,,
10118,Quand fut publié le Printemps ?,When,Time,,
19057,Qui estr le commandant de l'expédition britannique en Ethiopie ?,Who,Human,,
1436,Combien d'entités constituent les ateliers de Choisy ?,How_Many,Measure,,
19174,Qui le comte choisit-il ?,Who,Human,,
10298,Quand le canal de la Pennsylvanie est-il fermé ?,When,Time,,
20622,À qui Disney demanda-t-il de l'aide pour faire le design de Pinocchio ?,Who,Human,,
18311,Qui dirige le pays en 1847 ?,Who,Human,,
18973,Qui est soupçonné d'avoir commis le meurtre dans un premier temps ?,Who,Human,,
466,A quelle date Zamora joue-t-il un match contre les Anglais ?,When,Time,,
6995,Où habite la tante de Catherine et Lydia?,Where,Location,,
1301,Avec quoi l'auteure règle-t-lle ses comptes ?,Who,Human,,
2424,Combien y-a-t-il de grévistes ?,How_Many,Measure,,
18167,Qui avait compris l'importance de ce principe dès 1835 ?,Who,Human,,
6230,En quelle année une conduite pour le pétrole a-t-elle été ouverte en Israel?,When,Time,,
1348,Chez qui se trouvait un jour M. de Talleyrand ?,Who,Human,,
10234,"Quand la première ""fête des fleurs"" s'est-elle déroulée ?",When,Time,,
